git tag,file,checkpoint,dataset,random_seed,optimizer,lr scheduler,crop size,batch size,aws instance,loss,miou,bg iou,kelp iou,val loss,val miou,val bg iou,val kelp iou
,checkpoint_250320.pt,TRUE,coarse kelp beds,0,torch.optim.Adam(model.parameters() lr=1e-4 weight_decay=0.01),None,200,16,p3.2xlarge,0.4009,0.5521,0.6863,0.4179,0.4375,0.5477,0.6527,0.4427
,checkpoint_310320.pt,FALSE,fine kelp beds,0,torch.optim.Adam(model.parameters() lr=1e-4 weight_decay=0.01),None,200,64,p3.2xlarge,0.2907,0.6121,0.7690,0.4552,0.3298,0.6003,0.7378,0.4628
1.3.0,checkpoint060420.pt,FALSE,fine kelp beds,0,torch.optim.Adam(model.parameters() lr=1e-4 weight_decay=0.01),None,513,16,p3.8xlarge,
1.4.0,checkpoint060520.pt,FALSE,fine kelp beds,0,torch.optim.SGD(model.parameters() lr=1e-4 momentum=0.9 weight_decay=0.01),poly(0.9),513,16,p3.8xlarge,
